countrycode,year,rtfpna
CHN,1956,1.0042624473571777
CHN,1957,0.9891592860221863
CHN,1958,0.930047869682312
CHN,1959,0.8207459449768066
CHN,1960,0.7596352100372314
CHN,1961,0.6217106580734253
CHN,1962,0.6592656970024109
CHN,1963,0.745762288570404
CHN,1964,0.8182940483093262
CHN,1965,0.8647143840789795
CHN,1966,0.8419493436813354
CHN,1967,0.8105828166007996
CHN,1968,0.7536958456039429
CHN,1969,0.7864592671394348
CHN,1970,0.8468682169914246
CHN,1971,0.8610246777534485
CHN,1972,0.8059728145599365
CHN,1973,0.8198423385620117
CHN,1974,0.7942821979522705
CHN,1975,0.7967193722724915
CHN,1976,0.7302166223526001
CHN,1977,0.7325071096420288
CHN,1978,0.768295168876648
CHN,1979,0.7794339656829834
CHN,1980,0.7679000496864319
CHN,1981,0.7467207908630371
CHN,1982,0.7631188035011292
CHN,1983,0.7751379609107971
CHN,1984,0.8098688125610352
CHN,1985,0.8181995749473572
CHN,1986,0.8236706852912903
CHN,1987,0.8421975374221802
CHN,1988,0.8254260420799255
CHN,1989,0.7869119048118591
CHN,1990,0.7560407519340515
CHN,1991,0.7508937120437622
CHN,1992,0.7668576240539551
CHN,1993,0.7914118766784668
CHN,1994,0.8032541871070862
CHN,1995,0.8243414163589478
CHN,1996,0.8300266265869141
CHN,1997,0.8244835138320923
CHN,1998,0.7757197022438049
CHN,1999,0.7661134600639343
CHN,2000,0.7750580310821533
CHN,2001,0.7853043079376221
CHN,2002,0.8143099546432495
CHN,2003,0.8248791098594666
CHN,2004,0.8474859595298767
CHN,2005,0.8708186149597168
CHN,2006,0.9148180484771729
CHN,2007,0.9629179835319519
CHN,2008,0.9719170928001404
CHN,2009,0.9869419932365417
CHN,2010,1.0196994543075562
CHN,2011,1.0219509601593018
CHN,2012,0.9924126267433167
CHN,2013,1.0086846351623535
CHN,2014,1.024834156036377
CHN,2015,1.0164047479629517
CHN,2016,1.0133864879608154
CHN,2017,1.0
CHN,2018,0.9682919383049011
CHN,2019,0.9668113589286804
USA,1954,0.6500967741012573
USA,1955,0.6711305379867554
USA,1956,0.6673136353492737
USA,1957,0.674575686454773
USA,1958,0.6757963299751282
USA,1959,0.6949047446250916
USA,1960,0.6986446380615234
USA,1961,0.7052468061447144
USA,1962,0.72087162733078
USA,1963,0.7313989996910095
USA,1964,0.7428914308547974
USA,1965,0.7545850872993469
USA,1966,0.7660927176475525
USA,1967,0.7627155184745789
USA,1968,0.7728205323219299
USA,1969,0.7675699591636658
USA,1970,0.7633715271949768
USA,1971,0.778538703918457
USA,1972,0.7908034324645996
USA,1973,0.8016769886016846
USA,1974,0.7799847722053528
USA,1975,0.7808749675750732
USA,1976,0.7962056398391724
USA,1977,0.801483154296875
USA,1978,0.8061374425888062
USA,1979,0.8000994920730591
USA,1980,0.7860209345817566
USA,1981,0.7909623384475708
USA,1982,0.7759283781051636
USA,1983,0.7914542555809021
USA,1984,0.8088348507881165
USA,1985,0.8155463337898254
USA,1986,0.8243407607078552
USA,1987,0.8246350884437561
USA,1988,0.8324381709098816
USA,1989,0.8365651369094849
USA,1990,0.840258777141571
USA,1991,0.8375112414360046
USA,1992,0.8583506345748901
USA,1993,0.8595260381698608
USA,1994,0.8646479249000549
USA,1995,0.8630689382553101
USA,1996,0.870806872844696
USA,1997,0.8786721229553223
USA,1998,0.8874155282974243
USA,1999,0.8997077345848083
USA,2000,0.908983588218689
USA,2001,0.9107121825218201
USA,2002,0.9230067729949951
USA,2003,0.9407809972763062
USA,2004,0.9571667909622192
USA,2005,0.9676946997642517
USA,2006,0.9683090448379517
USA,2007,0.9665333032608032
USA,2008,0.9603290557861328
USA,2009,0.9608016014099121
USA,2010,0.9767066240310669
USA,2011,0.9748778343200684
USA,2012,0.977445662021637
USA,2013,0.9793618321418762
USA,2014,0.9839727878570557
USA,2015,0.9928510785102844
USA,2016,0.9937179088592529
USA,2017,1.0
USA,2018,1.0081819295883179
USA,2019,1.016862154006958
